"index","associated_dis","associated_dis2","country_name","dis_subtype","dis_type","disaster_no","end_date","insur_dam","iso","location","start_date","total_affected","total_dam","total_deaths"
93,"--","--","Philippines","Tropical cyclone","Storm","1980-0136","19/07/1980","0","PHL","","19/07/1980","69237","0","36"
94,"--","--","Philippines","--","Storm","1981-0060","/07/1981","0","PHL","Albay province","/07/1981","32","2000","214"
95,"--","--","Philippines","Tropical cyclone","Storm","1981-0062","04/07/1981","0","PHL","Oriental Mindoro","04/07/1981","28500","0","0"
96,"--","--","Philippines","Tropical cyclone","Storm","1981-0083","20/09/1981","0","PHL","Northern Luzon","20/09/1981","21905","6700","55"
97,"--","--","Philippines","Tropical cyclone","Storm","1981-0101","25/11/1981","0","PHL","","25/11/1981","840173","35000","261"
98,"--","--","Philippines","Tropical cyclone","Storm","1981-0112","25/12/1981","0","PHL","Samar, Mindoro, Luzon","25/12/1981","180000","26000","250"
99,"--","--","Philippines","Tropical cyclone","Storm","1981-0134","28/06/1981","0","PHL","","28/06/1981","15478","7609","210"
100,"--","--","Philippines","Tropical cyclone","Storm","1981-0136","16/08/1981","0","PHL","","16/08/1981","9721","12908","5"
101,"--","--","Philippines","Tropical cyclone","Storm","1981-0138","17/11/1981","0","PHL","","17/11/1981","5736","167","4"
102,"--","--","Philippines","Tropical cyclone","Storm","1982-0037","22/03/1982","0","PHL","S.E./N. Mindanao","22/03/1982","16000","0","117"
103,"--","--","Philippines","Tropical cyclone","Storm","1982-0038","23/03/1982","0","PHL","Central province","23/03/1982","789031","69000","151"
104,"--","--","Philippines","Tropical cyclone","Storm","1982-0093","25/08/1982","0","PHL","West","25/08/1982","25967","6500","70"
105,"--","--","Philippines","Tropical cyclone","Storm","1982-0101","05/09/1982","0","PHL","C./S. Luzon","05/09/1982","50008","0","65"
106,"--","--","Philippines","Tropical cyclone","Storm","1982-0111","12/10/1982","0","PHL","North Luzon","12/10/1982","64179","32000","96"
107,"--","--","Philippines","Tropical cyclone","Storm","1982-0173","18/03/1982","0","PHL","","18/03/1982","25099","2400","25"
108,"--","--","Philippines","Tropical cyclone","Storm","1982-0174","12/07/1982","0","PHL","","12/07/1982","12319","4500","10"
109,"--","--","Philippines","Tropical cyclone","Storm","1982-0175","20/08/1982","0","PHL","","20/08/1982","36927","4200","29"
110,"--","--","Philippines","Tropical cyclone","Storm","1982-0176","02/12/1982","0","PHL","Visayan Sea region","02/12/1982","85","5","0"
111,"--","--","Philippines","Tropical cyclone","Storm","1983-0096","14/07/1983","0","PHL","Southeast Luzon","14/07/1983","149892","1640","115"
112,"--","--","Philippines","Tropical cyclone","Storm","1983-0219","03/09/1983","0","PHL","","03/09/1983","1684","430","3"
113,"--","--","Philippines","Tropical cyclone","Storm","1983-0220","17/11/1983","0","PHL","","17/11/1983","18854","2250","8"
114,"--","--","Philippines","Convective storm","Storm","1983-0254","16/09/1983","0","PHL","Bohol","16/09/1983","100","0","2"
115,"--","--","Philippines","Tropical cyclone","Storm","1984-0073","27/08/1984","0","PHL","Northern Luzon, Pangasinan province","27/08/1984","483747","23000","138"
116,"--","--","Philippines","Tropical cyclone","Storm","1984-0105","03/11/1984","0","PHL","Capiz, Ilailo, Aklau, Antique, Leyte, Eastern Samar, Roxas, Tacloban","03/11/1984","2261900","96600","1079"
117,"--","--","Philippines","Tropical cyclone","Storm","1984-0185","01/09/1984","0","PHL","Surigao del Norte, Bohol Isl, Mindanao, Negros Occidental, Cebu provinces","01/09/1984","1786865","216700","1399"
118,"--","--","Philippines","Tropical cyclone","Storm","1984-0186","23/10/1984","0","PHL","","23/10/1984","2694","190","63"
119,"--","--","Philippines","Tropical cyclone","Storm","1985-0124","15/10/1985","0","PHL","Aurora, Nueva Ecija, Tarlac, Bur Lacan provinces (Central Luzon)","15/10/1985","1183626","62373","81"
120,"--","--","Philippines","Tropical cyclone","Storm","1985-0190","20/06/1985","0","PHL","Luzon, Ilocos Sur, Ilocos Norte, Benguet, Nueva Ecija, Bataan, Zambales, Vigan, Bantay, San Esteban, Laoag, Bagio city, Pampanga","20/06/1985","420200","20000","100"
121,"--","--","Philippines","Tropical cyclone","Storm","1985-0192","01/09/1985","0","PHL","","01/09/1985","148","660","5"
122,"--","--","Philippines","Tropical cyclone","Storm","1986-0080","09/07/1986","0","PHL","Ilocos, centra Luzon, Southern Tagalos, Metro Manilla","09/07/1986","647313","30710","109"
